hyperlinks,vehicle_description,Brand,Model,comment,model_year,classes,low_level,high_level
https://eg.hatla2ee.com/en/new-car/citroen/c3,Citroën-C3-2025,citroën,c3,,2025,2 Classes,"1,055,000","1,190,000"
https://eg.hatla2ee.com/en/new-car/citroen/c3,Citroën-C3-2024,citroën,c3,,2024,2 Classes,"1,055,000","1,190,000"
https://eg.hatla2ee.com/en/new-car/nissan/juke-shape-facelift,Nissan-Juke--Facelift-2025,nissan,juke,Facelift,2025,2 Classes,"1,068,000","1,168,000"
https://eg.hatla2ee.com/en/new-car/geely/Coolray,Geely-Cool-Ray-2025,geely,coolray,,2025,14 Classes,"1,070,000","1,639,000"
https://eg.hatla2ee.com/en/new-car/vgv/U70P-Plus,Vgv-U70P-Plus-2024,vgv,u70p-plus,,2024,1 Classes,"1,074,900", 
https://eg.hatla2ee.com/en/new-car/changan/CS-35-Plus,Changan-CS35-Plus-2024,changan,cs35-plus,,2024,3 Classes,"1,075,000","1,250,000"
https://eg.hatla2ee.com/en/new-car/jac/JS4,Jac-JS4-2024,jac,j4,,2024,2 Classes,"1,089,900","1,169,900"
https://eg.hatla2ee.com/en/new-car/fiat/500X,Fiat-500-X-2025,fiat,500-x,,2025,1 Classes,"1,090,000", 
https://eg.hatla2ee.com/en/new-car/renault/megane,Renault-Megane-2023,renault,megane,,2023,9 Classes,"1,099,000","1,650,000"
https://eg.hatla2ee.com/en/new-car/vgv/U70-Pro,Vgv-U70-Pro-2024,vgv,u70-pro,,2024,1 Classes,"1,099,900", 
https://eg.hatla2ee.com/en/new-car/changan/CS-35-Plus,Changan-CS35-Plus-2025,changan,cs35-plus,,2025,3 Classes,"1,100,000","1,275,000"
https://eg.hatla2ee.com/en/new-car/jaguar/XE,Jaguar-XE-2021,jaguar,xe,,2021,1 Classes, , 
https://eg.hatla2ee.com/en/new-car/fiat/tipo,Fiat-Tipo-2024,fiat,tipo,,2024,2 Classes,"1,100,000","1,325,000"
https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8,Chery-Tiggo8-2025,chery,tiggo8,,2025,4 Classes,"1,100,000","1,305,000"
https://eg.hatla2ee.com/en/new-car/renault/duster,Renault-Duster-2023,renault,duster,,2023,2 Classes,"1,110,000","1,290,000"
https://eg.hatla2ee.com/en/new-car/vgv/U70P-Plus,Vgv-U70P-Plus-2025,vgv,u70p-plus,,2025,1 Classes,"1,114,900", 
https://eg.hatla2ee.com/en/new-car/jac/J7,Jac-J7-2024,jac,j7,,2024,2 Classes,"1,119,900","1,169,900"
https://eg.hatla2ee.com/en/new-car/gac/Empow,GAC-Empow-2024,gac,empow,,2024,3 Classes,"1,120,000","1,380,000"
https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8,Chery-Tiggo8-2024,chery,tiggo8,,2024,4 Classes,"1,125,000","1,275,000"
https://eg.hatla2ee.com/en/new-car/haval/Jolion,Haval-Jolion-2025,haval,jolion,,2025,4 Classes,"1,150,000","1,370,000"
https://eg.hatla2ee.com/en/new-car/gac/GS3++Emzoom,GAC-GS3--Emzoom-2024,gac,gs3,,2024,4 Classes,"1,150,000","1,420,000"
https://eg.hatla2ee.com/en/new-car/seat/ibiza,Seat-Ibiza-2024,seat,ibiza,,2024,3 Classes,"1,150,000","1,400,000"
https://eg.hatla2ee.com/en/new-car/gac/Empow,GAC-Empow-2025,gac,empow,,2025,3 Classes,"1,165,000","1,425,000"
https://eg.hatla2ee.com/en/new-car/bestune/T55,Bestune-T55-2025,bestune,t55,,2025,1 Classes,"1,175,000", 
https://eg.hatla2ee.com/en/new-car/jetour/X70,Jetour-X70-2024,jetour,x70,,2024,2 Classes,"1,184,000","1,254,000"
https://eg.hatla2ee.com/en/new-car/dfm/A30-Shine,Dongfeng-A30-Shine-2024,dongfeng,a30,,2024,1 Classes,"1,185,000", 
https://eg.hatla2ee.com/en/new-car/vgv/U70Pro-Plus,Vgv-U70Pro-Plus-2025,vgv,u70pro-plus,,2025,2 Classes,"1,189,990","1,259,900"
https://eg.hatla2ee.com/en/new-car/haval/Jolion,Haval-Jolion-2024,haval,jolion,,2024,4 Classes,"1,190,000","1,400,000"
https://eg.hatla2ee.com/en/new-car/gac/GS4,GAC-GS4-2024,gac,gs4,,2024,3 Classes,"1,190,000","1,340,000"
https://eg.hatla2ee.com/en/new-car/renault/duster,Renault-Duster-2025,renault,duster,,2025,3 Classes,"1,190,000","1,290,000"
https://eg.hatla2ee.com/en/new-car/renault/duster,Renault-Duster-2024,renault,duster,,2024,3 Classes,"1,190,000","1,290,000"
https://eg.hatla2ee.com/en/new-car/gac/GS3++Emzoom,GAC-GS3--Emzoom-2025,gac,gs3,,2025,4 Classes,"1,195,000","1,465,000"
https://eg.hatla2ee.com/en/new-car/soueast/DX8S-Coupe,Soueast-DX8S-Coupe-2024,soueast,dx8s,,2024,1 Classes,"1,199,000", 
https://eg.hatla2ee.com/en/new-car/renault/megane,Renault-Megane-2025,renault,megane,,2025,9 Classes,"1,199,000","1,750,000"
https://eg.hatla2ee.com/en/new-car/renault/megane,Renault-Megane-2024,renault,megane,,2024,9 Classes,"1,199,000","1,750,000"
https://eg.hatla2ee.com/en/new-car/geely/Coolray-shape-facelift,Geely-Cool-Ray--Facelift-2024,geely,coolray,Facelift,2024,8 Classes,"1,210,000","1,560,000"
https://eg.hatla2ee.com/en/new-car/bestune/T55,Bestune-T55-2024,bestune,t55,,2024,1 Classes,"1,215,000", 
https://eg.hatla2ee.com/en/new-car/bestune/B70S,Bestune-B70S-2023,bestune,b70s,,2023,3 Classes,"1,219,000","1,299,000"
https://eg.hatla2ee.com/en/new-car/moris-garage/mg-6,MG-6-2024,mg,6,,2024,2 Classes,"1,220,000","1,250,000"
https://eg.hatla2ee.com/en/new-car/citroen/C3-Aircross,Citroën-C3-Aircross-2025,citroën,c3-aircross,,2025,2 Classes,"1,225,000","1,370,000"
https://eg.hatla2ee.com/en/new-car/citroen/C3-Aircross-shape-facelift,Citroën-C3-Aircross--Facelift-2024,citroën,c3-aircross,Facelift,2024,2 Classes,"1,225,000","1,370,000"
https://eg.hatla2ee.com/en/new-car/gac/GS4,GAC-GS4-2025,gac,gs4,,2025,3 Classes,"1,235,000","1,385,000"
